Name,Price,Spread,RollLong,RollShort,PIP,PIPCost,MarginCost,Leverage,LotAmount,Commission,Symbol
AUD/USD,0.77311,0.00005,0,0,0.0001,2.2,0,33,25000,0.5,
EUR/CHF,1.20104,0.00005,0,0,0.0001,2,0,33,20000,0.5,
EUR/USD,1.13795,0.00005,0,0,0.0001,1.8,0,33,20000,0.5,
GBP/USD,1.51364,0.00003,0,0,0.0001,1.5,0,33,17000,0.5,
USD/CAD,1.24466,0.0001,0,0,0.0001,2.5,0,33,25000,0.5,
USD/CHF,0.92203,0.00022,0,0,0.0001,2.5,0,33,25000,0.5,
USD/JPY,117.489,0.004,0,0,0.01,1.7,0,33,25000,0.5,
SPX500,2081.43,0.25,0,0,1,0.9,0,20,1,0.02,IBUS500-CFD-SMART
US30,17703.2,3,0,0,1,0.9,0,20,1,0.02,IBUS30-CFD-SMART
NAS100,4654.34,0.5,0,0,1,0.9,0,20,1,0.02,IBUST100-CFD-SMART
UK100,6869,1,0,0,1,0.9,0,20,1,0.02,IBUK100-CFD-SMART-GBP
GER30,10767.8,1,0,0,1,0.9,0,20,1,0.02,IBDE30-CFD-SMART-EUR
XAG/USD,15.863,0.013,0,0,0.01,0.009,0,20,1,0.02,XAGUSD-CMDTY-SMART-USD
XAU/USD,1156.25,0.07,0,0,0.01,0.009,0,20,1,1.6,XAUUSD-CMDTY-SMART-USD
AAPL,118.44,0.01,0,0,0.01,0.009,0,4,1,0.02, 
AXP,74.35,0.03,0,0,0.01,0.009,0,4,1,0.02, 
BA,146.78,0.05,0,0,0.01,0.009,0,4,1,0.02, 
CAT,71.7,0.01,0,0,0.01,0.009,0,4,1,0.02, 
CSCO,29.33,0.01,0,0,0.01,0.009,0,4,1,0.02, 
CVX,89.63,0.02,0,0,0.01,0.009,0,4,1,0.02, 
DD,62.68,0.01,0,0,0.01,0.009,0,4,1,0.02, 
DIS,113.61,0.03,0,0,0.01,0.009,0,4,1,0.02, 
GE,29.38,0.01,0,0,0.01,0.009,0,4,1,0.02, 
GS,190.64,0.07,0,0,0.01,0.009,0,4,1,0.02, 
HD,123.54,0.05,0,0,0.01,0.009,0,4,1,0.02, 
IBM,140.11,0.08,0,0,0.01,0.009,0,4,1,0.02, 
INTC,34.39,0.01,0,0,0.01,0.009,0,4,1,0.02, 
JNJ,99.82,0.02,0,0,0.01,0.009,0,4,1,0.02, 
JPM,65.55,0.01,0,0,0.01,0.009,0,4,1,0.02, 
KO,42.46,0.01,0,0,0.01,0.009,0,4,1,0.02, 
MCD,112.25,0.03,0,0,0.01,0.009,0,4,1,0.02, 
MRK,54.73,0.01,0,0,0.01,0.009,0,4,1,0.02, 
MSFT,53.16,0.01,0,0,0.01,0.009,0,4,1,0.02, 
NKE,130.41,0.05,0,0,0.01,0.009,0,4,1,0.02, 
PFE,35.42,0.01,0,0,0.01,0.009,0,4,1,0.02, 
PG,76.25,0.01,0,0,0.01,0.009,0,4,1,0.02, 
TRV,113.61,0.04,0,0,0.01,0.009,0,4,1,0.02, 
UNH,119.05,0.08,0,0,0.01,0.009,0,4,1,0.02, 
UTX,99,0.02,0,0,0.01,0.009,0,4,1,0.02, 
V,78.27,0.03,0,0,0.01,0.009,0,4,1,0.02, 
VZ,46.27,0.01,0,0,0.01,0.009,0,4,1,0.02, 
WMT,57.56,0.01,0,0,0.01,0.009,0,4,1,0.02, 
XOM,81.62,0.01,0,0,0.01,0.009,0,4,1,0.02, 
GLD,120,0.01,0,0,0.01,0.009,0,4,1,0.02, 
VIG,81.62,0.01,0,0,0.01,0.009,0,4,1,0.02, 
XLE,63.72,0.01,0,0,0.01,0.009,0,4,1,0.02, 
XLU,49.12,0.01,0,0,0.01,0.009,0,4,1,0.02, 
VTI,105.47,0.01,0,0,0.01,0.009,0,4,1,0.02, 
EMB,111.72,0.02,0,0,0.01,0.009,0,4,1,0.02, 
DBA,21.3,0.02,0,0,0.01,0.009,0,4,1,0.02, 
VNQ,83.71,0.01,0,0,0.01,0.01,0,4,1,0.02, 
EFA,57.62,0.01,0,0,0.01,0.01,0,4,1,0.02, 
EEM,34,0.01,0,0,0.01,0.01,0,4,1,0.02, 
VWO,33,0.01,0,0,0.01,0.01,0,4,1,0.02, 
VEA,35,0.01,0,0,0.01,0.01,0,4,1,0.02, 
LQD,119,0.01,0,0,0.01,0.01,0,4,1,0.02, 
